LOCATION,SUBURB,Reason Code,Audit Date,ADDRESS,lon,lat,type,loctype,address,north,south,east,west
Raftery Road,Kialla,C,Apr-22,"Raftery Road, Kialla, Australia",145.3688876,-36.4394262,route,geometric_center,"raftery rd, kialla vic 3631, australia",-36.4176092,-36.4581674,145.3917982,145.3641298
Raglan Street,Preston,AC,Apr-22,"Raglan Street, Preston, Australia",145.015453,-37.7503903,route,geometric_center,"raglan st, preston vic 3072, australia",-37.7464905,-37.7534849,145.030046,145.0021499
Raglan Street,Sale,C,Jan-22,"Raglan Street, Sale, Australia",147.0781852,-38.099737,route,geometric_center,"raglan st, sale vic 3850, australia",-38.0948046,-38.1036641,147.0970912,147.0597549
Railway Avenue,Werribee,C,Sep-21,"Railway Avenue, Werribee, Australia",144.6717776,-37.8946314,route,geometric_center,"railway ave, werribee vic 3030, australia",-37.8894359,-37.8993821,144.6808111,144.6629764
Raleigh Street,Westmeadows,C,Apr-22,"Raleigh Street, Westmeadows, Australia",144.8951138,-37.6771447,route,geometric_center,"raleigh st, westmeadows vic 3049, australia",-37.6758974,-37.678938,144.9033827,144.8875632
Ranfurly Way,Mildura,AC,Jul-21,"Ranfurly Way, Mildura, Australia",142.1001881,-34.1758416,route,geometric_center,"ranfurly way, mildura vic 3500, australia",-34.17159679999996,-34.17788700000003,142.1244315,142.0772073
Rattray Road,Montmorency,AC,Apr-22,"Rattray Road, Montmorency, Australia",145.1236465,-37.7184606,route,geometric_center,"rattray rd, montmorency vic 3094, australia",-37.7139947,-37.7215012,145.1375834,145.1137894
Rea Street,Shepparton,ABC,Apr-22,"Rea Street, Shepparton, Australia",145.4086609,-36.3710685,route,geometric_center,"rea st, shepparton vic 3630, australia",-36.3695421,-36.3727323,145.4153232,145.4014409
Recreation Road,Yan Yean,B,Apr-22,"Recreation Road, Yan Yean, Australia",145.1219309,-37.5645612,route,geometric_center,"recreation rd, yan yean vic 3755, australia",-37.5581397,-37.57127750000001,145.1230689302915,145.1203709697085
Rees Road,Melton South,C,May-22,"Rees Road, Melton South, Australia",144.5627927,-37.7131621,route,geometric_center,"rees rd, melton south vic 3338, australia",-37.70472179999997,-37.72077580000003,144.5644375,144.5612749
Reeve Street,Sale,C,Jan-22,"Reeve Street, Sale, Australia",147.0608513,-38.1046357,route,geometric_center,"reeve st, sale vic 3850, australia",-38.0973152,-38.1119346,147.0625125302915,147.0598145697085
Regent Street,Mernda,BCD,Apr-22,"Regent Street, Mernda, Australia",145.0713608,-37.6052557,route,geometric_center,"regent st, mernda vic 3754, australia",-37.6031069,-37.6070541,145.0810403,145.0617416
