State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude,StateAb,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,45,1,Hurstville Grove,Hurstville Grove Infants School,81 Lansdowne St,PENSHURST,NSW,2222,-33.9729154,151.0909386,NSW,Hurstville Grove,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1004,-0.69
NSW,103,Banks,45,1,Hurstville Grove,Hurstville Grove Infants School,81 Lansdowne St,PENSHURST,NSW,2222,-33.9729154,151.0909386,NSW,Hurstville Grove,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,700,0.69
NSW,103,Banks,46,1,Blakehurst North,Blakehurst High School,270A Woniora Rd,BLAKEHURST,NSW,2221,-33.9814,151.113,NSW,Blakehurst North,33334,COLEMAN,David,1,Y,Y,LP,Liberal,187,12.86
NSW,103,Banks,46,1,Blakehurst North,Blakehurst High School,270A Woniora Rd,BLAKEHURST,NSW,2221,-33.9814,151.113,NSW,Blakehurst North,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,152,-12.86
NSW,104,Barton,47,1,Carlton South (Barton),Carlton South Public School,67 Jubilee Ave,CARLTON,NSW,2218,-33.9727,151.128,NSW,Carlton South (Barton),32681,BURNEY,Linda,1,Y,Y,ALP,Labor,429,2.6
NSW,104,Barton,47,1,Carlton South (Barton),Carlton South Public School,67 Jubilee Ave,CARLTON,NSW,2218,-33.9727,151.128,NSW,Carlton South (Barton),33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,271,-2.6
NSW,112,Cook,49,1,Kogarah Bay,Congregational Church Hall,cnr Wyee St & Souter St,KOGARAH BAY,NSW,2217,-33.9839,151.123,NSW,Kogarah Bay,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,709,4.57
NSW,112,Cook,49,1,Kogarah Bay,Congregational Church Hall,cnr Wyee St & Souter St,KOGARAH BAY,NSW,2217,-33.9839,151.123,NSW,Kogarah Bay,32745,"O'BRIEN",Simon,3,N,N,ALP,Labor,306,-4.57
NSW,104,Barton,50,1,Kogarah Central,Kogarah High School,22A Gladstone St,KOGARAH,NSW,2217,-33.9616,151.136,NSW,Kogarah Central,32681,BURNEY,Linda,1,Y,Y,ALP,Labor,1292,0.15
NSW,104,Barton,50,1,Kogarah Central,Kogarah High School,22A Gladstone St,KOGARAH,NSW,2217,-33.9616,151.136,NSW,Kogarah Central,33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,818,-0.15
NSW,104,Barton,51,1,Kyeemagh,Kyeemagh Public School,cnr Jacobson Ave & Beehag St,KYEEMAGH,NSW,2216,-33.9497,151.161,NSW,Kyeemagh,32681,BURNEY,Linda,1,Y,Y,ALP,Labor,551,1.45
NSW,104,Barton,51,1,Kyeemagh,Kyeemagh Public School,cnr Jacobson Ave & Beehag St,KYEEMAGH,NSW,2216,-33.9497,151.161,NSW,Kyeemagh,33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,535,-1.45
NSW,112,Cook,54,1,Kogarah East,St George School,2A Marshall St,KOGARAH,NSW,2217,-33.9687,151.137,NSW,Kogarah East,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,398,6.97
NSW,112,Cook,54,1,Kogarah East,St George School,2A Marshall St,KOGARAH,NSW,2217,-33.9687,151.137,NSW,Kogarah East,32745,"O'BRIEN",Simon,3,N,N,ALP,Labor,283,-6.97
NSW,103,Banks,55,1,Mortdale Central,Mortdale Community Centre,2B Boundary Rd,MORTDALE,NSW,2223,-33.9748397,151.0781603,NSW,Mortdale Central,33334,COLEMAN,David,1,Y,Y,LP,Liberal,893,7.56
NSW,103,Banks,55,1,Mortdale Central,Mortdale Community Centre,2B Boundary Rd,MORTDALE,NSW,2223,-33.9748397,151.0781603,NSW,Mortdale Central,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,713,-7.56
NSW,103,Banks,56,1,Mortdale East,Mortdale Public School,Coleborne Ave,MORTDALE,NSW,2223,-33.9727,151.081,NSW,Mortdale East,33334,COLEMAN,David,1,Y,Y,LP,Liberal,831,2.57
NSW,103,Banks,56,1,Mortdale East,Mortdale Public School,Coleborne Ave,MORTDALE,NSW,2223,-33.9727,151.081,NSW,Mortdale East,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,857,-2.57
NSW,103,Banks,58,1,Oatley,Oatley Public School,51 Letitia St,OATLEY,NSW,2223,-33.9847,151.081,NSW,Oatley,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1128,-2.33
NSW,103,Banks,58,1,Oatley,Oatley Public School,51 Letitia St,OATLEY,NSW,2223,-33.9847,151.081,NSW,Oatley,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,816,2.33
NSW,103,Banks,59,1,Oatley West,Oatley West Public School,Oatley Park Ave,OATLEY,NSW,2223,-33.9796,151.065,NSW,Oatley West,33334,COLEMAN,David,1,Y,Y,LP,Liberal,1343,-1.84
NSW,103,Banks,59,1,Oatley West,Oatley West Public School,Oatley Park Ave,OATLEY,NSW,2223,-33.9796,151.065,NSW,Oatley West,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,909,1.84
NSW,103,Banks,60,1,Penshurst Central,Penshurst Girls Campus,2 Austral St,PENSHURST,NSW,2222,-33.9641,151.087,NSW,Penshurst Central,33334,COLEMAN,David,1,Y,Y,LP,Liberal,970,4.68
NSW,103,Banks,60,1,Penshurst Central,Penshurst Girls Campus,2 Austral St,PENSHURST,NSW,2222,-33.9641,151.087,NSW,Penshurst Central,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,1031,-4.68
NSW,112,Cook,61,1,Ramsgate Beach,Ramsgate Public School,59 Chuter Ave,RAMSGATE,NSW,2217,-33.982,151.144,NSW,Ramsgate Beach,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,1781,6.73
NSW,112,Cook,61,1,Ramsgate Beach,Ramsgate Public School,59 Chuter Ave,RAMSGATE,NSW,2217,-33.982,151.144,NSW,Ramsgate Beach,32745,"O'BRIEN",Simon,3,N,N,ALP,Labor,1199,-6.73
NSW,104,Barton,62,1,Rockdale,Rockdale Public School,4 Lord St,ROCKDALE,NSW,2216,-33.9527,151.142,NSW,Rockdale,32681,BURNEY,Linda,1,Y,Y,ALP,Labor,790,1.84
NSW,104,Barton,62,1,Rockdale,Rockdale Public School,4 Lord St,ROCKDALE,NSW,2216,-33.9527,151.142,NSW,Rockdale,33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,419,-1.84
NSW,104,Barton,63,1,Rockdale Central,Rockdale Uniting Church Hall,5 Bay St,ROCKDALE,NSW,2216,-33.9537,151.139,NSW,Rockdale Central,32681,BURNEY,Linda,1,Y,Y,ALP,Labor,927,0.48
NSW,104,Barton,63,1,Rockdale Central,Rockdale Uniting Church Hall,5 Bay St,ROCKDALE,NSW,2216,-33.9537,151.139,NSW,Rockdale Central,33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,599,-0.48
NSW,103,Banks,65,1,Carlton West,"St Cuthbert's Church Hall",34 Park Rd,CARLTON,NSW,2218,-33.9763447,151.1206652,NSW,Carlton West,33334,COLEMAN,David,1,Y,Y,LP,Liberal,644,2.66
NSW,103,Banks,65,1,Carlton West,"St Cuthbert's Church Hall",34 Park Rd,CARLTON,NSW,2218,-33.9763447,151.1206652,NSW,Carlton West,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,514,-2.66
NSW,103,Banks,67,1,Allawah South,"St Raphael's Church Hall",84 George St,SOUTH HURSTVILLE,NSW,2221,-33.9756,151.111,NSW,Allawah South,33334,COLEMAN,David,1,Y,Y,LP,Liberal,489,4.4
NSW,103,Banks,67,1,Allawah South,"St Raphael's Church Hall",84 George St,SOUTH HURSTVILLE,NSW,2221,-33.9756,151.111,NSW,Allawah South,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,432,-4.4
NSW,112,Cook,68,1,Sans Souci,Sans Souci Public School,413 Rocky Point Rd,SANS SOUCI,NSW,2219,-33.9951,151.13,NSW,Sans Souci,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,1494,4.15
NSW,112,Cook,68,1,Sans Souci,Sans Souci Public School,413 Rocky Point Rd,SANS SOUCI,NSW,2219,-33.9951,151.13,NSW,Sans Souci,32745,"O'BRIEN",Simon,3,N,N,ALP,Labor,783,-4.15
NSW,112,Cook,69,1,Ramsgate,Sans Souci Literary Institute,107 Ramsgate Rd,RAMSGATE,NSW,2217,-33.9847,151.138,NSW,Ramsgate,33135,MORRISON,Scott,1,Y,Y,LP,Liberal,1285,7.62
NSW,112,Cook,69,1,Ramsgate,Sans Souci Literary Institute,107 Ramsgate Rd,RAMSGATE,NSW,2217,-33.9847,151.138,NSW,Ramsgate,32745,"O'BRIEN",Simon,3,N,N,ALP,Labor,802,-7.62
NSW,105,Bennelong,75,1,Marsfield North,Epping Boys High School,213 Vimiera Rd,MARSFIELD,NSW,2122,-33.7703911,151.0996223,NSW,Marsfield North,32637,OWLER,Brian,1,N,N,ALP,Labor,1130,8.64
NSW,105,Bennelong,75,1,Marsfield North,Epping Boys High School,213 Vimiera Rd,MARSFIELD,NSW,2122,-33.7703911,151.0996223,NSW,Marsfield North,33140,ALEXANDER,John,3,Y,Y,LP,Liberal,1112,-8.64
NSW,137,North Sydney,76,1,Hunters Hill North (North Sydney),Boronia Park Public School,113 Pittwater Rd,HUNTERS HILL,NSW,2110,-33.8211705,151.1355456,NSW,Hunters Hill North (North Sydney),32715,STONE,Brett,2,N,N,ALP,Labor,607,4.76
NSW,137,North Sydney,76,1,Hunters Hill North (North Sydney),Boronia Park Public School,113 Pittwater Rd,HUNTERS HILL,NSW,2110,-33.8211705,151.1355456,NSW,Hunters Hill North (North Sydney),33165,ZIMMERMAN,Trent,7,Y,Y,LP,Liberal,824,-4.76
NSW,137,North Sydney,77,1,Chatswood South,The Meeting House,23-25 Stokes St,LANE COVE NORTH,NSW,2066,-33.8092487,151.1748087,NSW,Chatswood South,32715,STONE,Brett,2,N,N,ALP,Labor,444,5.27
NSW,137,North Sydney,77,1,Chatswood South,The Meeting House,23-25 Stokes St,LANE COVE NORTH,NSW,2066,-33.8092487,151.1748087,NSW,Chatswood South,33165,ZIMMERMAN,Trent,7,Y,Y,LP,Liberal,433,-5.27
NSW,137,North Sydney,78,1,Lane Cove West Central,Lane Cove West Public School,10 Avalon Ave,LANE COVE WEST,NSW,2066,-33.8098512,151.1523201,NSW,Lane Cove West Central,32715,STONE,Brett,2,N,N,ALP,Labor,644,6.16
NSW,137,North Sydney,78,1,Lane Cove West Central,Lane Cove West Public School,10 Avalon Ave,LANE COVE WEST,NSW,2066,-33.8098512,151.1523201,NSW,Lane Cove West Central,33165,ZIMMERMAN,Trent,7,Y,Y,LP,Liberal,880,-6.16
